"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ea_data,evento_adverso,,text,"Data do evento adverso",,,date_dmy,,,,"[ea_ocorreu] = '1'",y,,,,,
ea_tipo,evento_adverso,,radio,"Tipo de evento adverso","1, Hipoglicemia | 2, Hospitalização | 3, Infeção | 4, Outro",,,,,,"[ea_ocorreu] = '1'",y,,,,,
ea_descricao,evento_adverso,,notes,"Descrição do evento adverso",,"Descreva brevemente o evento, circunstâncias e sintomas",,,,,"[ea_ocorreu] = '1'",y,,,,,
ea_severidade,evento_adverso,,radio,"Severidade do evento","1, Ligeiro | 2, Moderado | 3, Grave",,,,,,"[ea_ocorreu] = '1'",y,,,,,
ea_relacao,evento_adverso,,radio,"Relação com a intervenção do estudo","1, Relacionado | 2, Possivelmente relacionado | 3, Não relacionado",,,,,,"[ea_ocorreu] = '1'",y,,,,,
ea_acao,evento_adverso,,radio,"Ação tomada","1, Nenhuma | 2, Ajuste de medicação | 3, Hospitalização | 4, Saída do estudo",,,,,,"[ea_ocorreu] = '1'",y,,,,,
ea_resolvido,evento_adverso,,radio,"Evento resolvido?","1, Sim | 0, Não",,,,,,"[ea_ocorreu] = '1'",y,,,,,
fim_data,fim_estudo,"Conclusão do Estudo",text,"Data de conclusão ou saída do estudo",,,date_dmy,,,,,y,,,,," @TODAY"
fim_status,fim_estudo,,radio,"Estado final do participante","1, Concluiu o estudo | 2, Descontinuado | 3, Perdido no follow-up",,,,,,,y,,,,,
fim_motivo,fim_estudo,,notes,"Motivo da descontinuação ou perda de seguimento",,"Preencher apenas se o estado final for Descontinuado ou Perdido no follow-up",,,,,"[fim_status] = '2' or [fim_status] = '3'",,,,,,
